cui;medical_term;semantic_types
C0000723;Abbreviation;inpr
C0000727;Acute abdomen;sosy
C0000729;Abdominal cramps;sosy
C0000731;Abdomen distended;fndg
C0000734;Abdominal mass;fndg
C0000737;Abdominal pain;sosy
C0000744;Abetalipoproteinemia;dsyn
C0000765;Excessive body weight gain;fndg
C0000768;Congenital abnormality;cgab
C0000772;Multiple congenital anomalies;cgab
C0000786;Spontaneous abortion;patf
C0000790;History of - abortion;fndg
C0000809;Habitual abortion;dsyn
C0000810;Incomplete spontaneous abortion;patf
C0000814;Missed abortion;dsyn
C0000817;Septic abortion;patf
C0000821;Threatened abortion;patf
C0000822;Tubal abortion;patf
C0000832;Abruptio placentae;patf
C0000833;Abscess;dsyn
C0000873;Academic problem;fndg
C0000880;Acanthamoeba keratitis;dsyn
C0000887;Acantholysis;patf
C0000889;Acanthosis nigricans;dsyn
C0001075;Achlorhydria;patf
C0001079;Achondrogenesis;cgab
C0001080;Achondroplasia;cgab,dsyn
C0001122;Acidosis;patf
C0001125;Lactic acidosis;dsyn
C0001126;Renal tubular acidosis;dsyn
C0001127;Respiratory acidosis;dsyn
C0001144;Acne vulgaris;dsyn
C0001145;Acne keloid;dsyn
C0001175;Acquired immunodeficiency syndrome, NOS;dsyn
C0001193;Apert syndrome;cgab
C0001197;Acrodermatitis;dsyn
C0001206;Acromegaly;dsyn
C0001231;Ectopic ACTH syndrome;dsyn
C0001247;Actinobacillosis;dsyn
C0001261;Actinomycosis;dsyn
C0001263;Abdominal actinomycosis;dsyn
C0001304;Acute abscess;dsyn
C0001306;Acute alcoholic liver disease;dsyn
C0001311;Acute bronchiolitis;dsyn
C0001314;Acute disease;dsyn
C0001327;Acute laryngitis;dsyn
C0001339;Acute pancreatitis;dsyn
C0001344;Acute pharyngitis;dsyn
C0001360;Acute thyroiditis;dsyn
C0001361;Acute tonsillitis;dsyn
C0001363;Acute vascular insufficiency of intestine (disorder);dsyn
C0001364;Massive hepatic necrosis;patf
C0001396;Stokes-Adams syndrome;dsyn
C0001403;Addison disease;dsyn
C0001427;Adenoiditis;dsyn
C0001486;Adenovirus infection, NOS;dsyn
C0001511;Adhesion, NOS;patf
C0001519;Adie's syndrome;dsyn
C0001529;Adiposis dolorosa;dsyn
C0001539;Adjustment disorder with depressed mood;mobd
