disease;term_count
17β-Hydroxysteroid dehydrogenase III deficiency;3
18p-;2
1p36 deletion syndrome;42
1q21.1 deletion syndrome;10
1q21.1 duplication syndrome;9
2-Hydroxyglutaric aciduria;11
2-Methylbutyryl-CoA dehydrogenase deficiency;3
2009 flu pandemic;20
22q13 deletion syndrome;4
3-hydroxyacyl-coenzyme A dehydrogenase deficiency;10
3-M syndrome;6
3-Methylcrotonyl-CoA carboxylase deficiency;7
3C syndrome;16
3q29 microdeletion syndrome;7
45,X/46,XY mosaicism;4
49,XXXXX;8
49,XXXXY;11
5α-Reductase deficiency;7
6-phosphogluconate dehydrogenase deficiency;4
8p23.1 duplication syndrome;5
9q34 deletion syndrome;3
AA amyloidosis;11
Aarskog–Scott syndrome;10
Aase syndrome;13
ABCD syndrome;1
Abdallat–Davis–Farrage syndrome;4
Abdominal aortic aneurysm;24
Abdominal epilepsy;10
Abdominal mass;11
Abdominal obesity;7
Abdominal pain;14
Abdominal pregnancy;7
Abdominal trauma;15
Abdominal wall defect;4
Aberrant subclavian artery;7
Abetalipoproteinemia;18
Abietic acid dermatitis;1
Abnormal posturing;5
Abscess;16
Absence seizure;18
Abusive head trauma;21
Acalculia;5
Acanthamoeba keratitis;4
Acanthocheilonemiasis;7
Acanthosis nigricans;10
Acariasis;5
Acatalasia;3
Accelerated phase chronic myelogenous leukemia;2
Accessory auricle;4
Accessory breast;1
Accessory nerve disorder;6
Accessory pancreas;18
Aceruloplasminemia;16
Acetabular fracture;4
Achalasia;16
Achard syndrome;1
Achilles tendinitis;12
Achilles tendon rupture;10
Achlorhydria;29
Achondroplasia;10
Achromatopsia;11
Acid erosion;8
Acid–base imbalance;2
Acinar cell carcinoma of the pancreas;3
Acne;17
Acne fulminans;4
Acquired brain injury;7
Acquired generalized lipodystrophy;11
Acquired idiopathic generalized anhidrosis;1
Acral lentiginous melanoma;5
Acrania;1
Acrocallosal syndrome;4
Acrocyanosis;10
Acrodermatitis chronica atrophicans;3
Acrodermatitis enteropathica;8
Acrodynia;22
Acromegaly;23
Acrophobia;7
Acro–dermato–ungual–lacrimal–tooth syndrome;4
Actinic cheilitis;12
Actinic conjunctivitis;2
Actinic elastosis;3
Actinic keratosis;28
Actinomycosis;4
Acute abdomen;19
Acute beryllium poisoning;7
Acute biphenotypic leukaemia;11
Acute bronchitis;16
Acute cerebellar ataxia of childhood;8
Acute coronary syndrome;26
Acute decompensated heart failure;28
Acute disseminated encephalomyelitis;22
Acute erythroid leukemia;6
Acute exacerbation of chronic obstructive pulmonary disease;7
Acute fatty liver of pregnancy;18
Acute flaccid myelitis;10
Acute generalized exanthematous pustulosis;16
Acute infectious thyroiditis;18
Acute intermittent porphyria;38
Acute interstitial pneumonitis;6
Acute kidney injury;31
Acute liver failure;36
Acute lymphoblastic leukemia;29
Acute megakaryoblastic leukemia;10
Acute myeloblastic leukemia with maturation;3
Acute myeloid leukemia;23
Acute necrotizing ulcerative gingivitis;11
Acute pancreatitis;42
Acute panmyelosis with myelofibrosis;3
Acute pericarditis;22
Acute proliferative glomerulonephritis;16
Acute promyelocytic leukemia;16
Acute prostatitis;17
Acute radiation syndrome;37
Acute respiratory distress syndrome;14
Acute retinal necrosis;7
Acute severe asthma;16
Acute stress reaction;9
Acute tubular necrosis;1
Adamantinoma;4
Adams–Oliver syndrome;5
Adams–Stokes syndrome;10
Addiction;10
Addison's disease;39
Adducted thumb syndrome;10
Adenine phosphoribosyltransferase deficiency;9
Adenocarcinoma in situ of the lung;2
Adenoid hypertrophy;7
Adenoiditis;6
Adenomyomatosis;2
Adenomyosis;22
Adenosine monophosphate deaminase deficiency type 1;11
Adenylosuccinate lyase deficiency;5
Adhesive capsulitis of shoulder;12
Adie syndrome;11
Adiposis dolorosa;25
Adiposogenital dystrophy;10
Adipsia;12
Adjustment disorder;5
Adrenal crisis;15
Adrenal insufficiency;27
Adrenocortical carcinoma;24
Adrenoleukodystrophy;11
Adult T-cell leukemia/lymphoma;3
Adult-onset immunodeficiency syndrome;2
Adult-onset Still's disease;20
Advanced sleep phase disorder;2
Adverse drug reaction;8
Aerobic vaginitis;6
Aerosol burn;7
African iron overload;12
African tick bite fever;15
African trypanosomiasis;20
Agenesis of the corpus callosum;17
Aggressive NK-cell leukemia;10
Agnosia;13
Agoraphobia;18
Agranulocytosis;14
Agraphesthesia;1
Aicardi syndrome;3
Aicardi–Goutières syndrome;8
AIDS-related lymphoma;2
Ainhum;11
Air embolism;20
Airsickness;9
Akathisia;26
AL amyloidosis;11
Alagille syndrome;11
Albinism;12
Albright's hereditary osteodystrophy;3
Albuminuria;9
Alcohol abuse;27
Alcohol dependence;9
Alcohol flush reaction;9
Alcohol intoxication;14
Alcohol withdrawal syndrome;24
Alcohol-related brain damage;7
Alcoholic cardiomyopathy;20
Alcoholic hallucinosis;5
Alcoholic hepatitis;7
Alcoholic Korsakoff syndrome;22
Alcoholic liver disease;12
Alcoholic polyneuropathy;32
Alcoholism;57
Aldolase A deficiency;13
Alexander disease;7
Alice in Wonderland syndrome;16
Alien hand syndrome;21
Alkalosis;13
Alkaptonuria;6
Allergic bronchopulmonary aspergillosis;15
Allergic conjunctivitis;12
Allergic contact dermatitis;12
Allergic rhinitis;17
Allergy;39
Allodynia;7
Alogia;2
Alopecia areata;9
Alopecia universalis;2
Alpha 1-antitrypsin deficiency;10
Alpha-mannosidosis;7
Alpha-thalassemia;6
Alport syndrome;14
Alström syndrome;25
Alternating hemiplegia;12
Alternating hemiplegia of childhood;28
Altitude sickness;22
