Code;Name
78;ALFRED
103;Aliases
80;AO
105;AO Foundation
108;BRENDA
76;CAS Number
81;CAS number
89;ChEBI
97;ChEMBL
94;ChemSpider
77;Code
83;dbSNP
92;DiseasesDB
59;Dorlands /Elsevier
95;DrugBank
57;EC number
70;ECHA InfoCard
62;eMedicine
113;Ensembl
114;Entrez
107;ExPASy
61;External IDs
98;FMA
79;GARD
69;Gene Ontology
90;GeneReviews
52;HapMap
63;HgenetInfoDB
65;HUGO
53;ICD-10
118;ICD-9
60;ICD-9-CM
54;ICD-O
110;IntEnz
55;InterPro
88;IUPHAR/BPS
67;KEGG
58;MedlinePlus
75;MeSH
101;MetaCyc
82;NCI
74;NeuroLex ID
66;NORD
72;OMIM
99;Orphanet
96;Orthobullets
116;OrthoInfo
87;Patient UK
112;PDB structures
102;Pfam
84;Pfam clan
115;PRIAM
56;PROSITE
93;PubChem CID
73;Radiopaedia
109;Radiopedia
85;RefSeq
71;Rfam
64;SCOP
68;SNPedia
111;SUPERFAMILY
104;TA
119;TE
106;TH
100;UNII
86;UniProt
91;Wheeless Online
117;x
