DiseaseName;Url
Otic polyp;http://en.wikipedia.org/wiki/Otic_polyp
Abdominal pain;http://en.wikipedia.org/wiki/Abdominal_pain
Hemoperitoneum;http://en.wikipedia.org/wiki/Hemoperitoneum
Choroid glomus;http://en.wikipedia.org/wiki/Choroid_glomus
Renal dysplasia-limb defects syndrome;http://en.wikipedia.org/wiki/Renal_dysplasia-limb_defects_syndrome
Neurosis;http://en.wikipedia.org/wiki/Neurosis
Bladder outlet obstruction;http://en.wikipedia.org/wiki/Bladder_outlet_obstruction
Cellulite;http://en.wikipedia.org/wiki/Cellulite
Malpuech facial clefting syndrome;http://en.wikipedia.org/wiki/Malpuech_facial_clefting_syndrome
Tibial plateau fracture;http://en.wikipedia.org/wiki/Tibial_plateau_fracture
Alacrima;http://en.wikipedia.org/wiki/Alacrima
HEC syndrome;http://en.wikipedia.org/wiki/HEC_syndrome
Venezuelan hemorrhagic fever;http://en.wikipedia.org/wiki/Venezuelan_hemorrhagic_fever
Autoimmune progesterone dermatitis;http://en.wikipedia.org/wiki/Autoimmune_progesterone_dermatitis
Polyuria;http://en.wikipedia.org/wiki/Polyuria
Frontotemporal dementia and parkinsonism linked to chromosome 17;http://en.wikipedia.org/wiki/Frontotemporal_dementia_and_parkinsonism_linked_to_chromosome_17
Gout;http://en.wikipedia.org/wiki/Harrison_Syndrome
Tuberculous lymphadenitis;http://en.wikipedia.org/wiki/Tuberculous_lymphadenitis
Sebaceous adenoma;http://en.wikipedia.org/wiki/Sebaceous_adenoma
Fetor;http://en.wikipedia.org/wiki/Fetor
Hemifacial microsomia;http://en.wikipedia.org/wiki/Hemifacial_microsomia
Adult-onset immunodeficiency syndrome;http://en.wikipedia.org/wiki/Adult-onset_immunodeficiency_syndrome
Adrenocortical hyperfunction;http://en.wikipedia.org/wiki/Adrenocortical_hyperfunction
Rosacea;http://en.wikipedia.org/wiki/Glandular_rosacea,http://en.wikipedia.org/wiki/Erythrotelangiectatic_rosacea,http://en.wikipedia.org/wiki/Rosacea
Posterior vitreous detachment;http://en.wikipedia.org/wiki/Posterior_vitreous_detachment
Gumma (pathology);http://en.wikipedia.org/wiki/Gumma_(pathology)
Visual release hallucinations;http://en.wikipedia.org/wiki/Visual_release_hallucinations
Glycine encephalopathy;http://en.wikipedia.org/wiki/Glycine_encephalopathy
Earwax;http://en.wikipedia.org/wiki/Earwax
Generalized eruptive histiocytoma;http://en.wikipedia.org/wiki/Generalized_eruptive_histiocytoma
Microcheilia;http://en.wikipedia.org/wiki/Microcheilia
Neck pain;http://en.wikipedia.org/wiki/Neck_pain
8p23.1 duplication syndrome;http://en.wikipedia.org/wiki/8p23.1_duplication_syndrome
Pagetoid reticulosis;http://en.wikipedia.org/wiki/Pagetoid_reticulosis
Nervous system neoplasm;http://en.wikipedia.org/wiki/Nervous_system_neoplasm
Myhre syndrome;http://en.wikipedia.org/wiki/Myhre_syndrome
Anosognosia;http://en.wikipedia.org/wiki/Anosognosia
Secondary sclerosing cholangitis;http://en.wikipedia.org/wiki/Secondary_sclerosing_cholangitis
Swelling (medical);http://en.wikipedia.org/wiki/Swelling_(medical)
Spinal stenosis;http://en.wikipedia.org/wiki/Spinal_stenosis
Adipsia;http://en.wikipedia.org/wiki/Adipsia
Liver disease;http://en.wikipedia.org/wiki/Liver_disease
Upper motor neuron lesion;http://en.wikipedia.org/wiki/Upper_motor_neuron_lesion
Saint Louis encephalitis;http://en.wikipedia.org/wiki/Saint_Louis_encephalitis
Cardiac myxoma;http://en.wikipedia.org/wiki/Cardiac_myxoma
Chemical pneumonitis;http://en.wikipedia.org/wiki/Chemical_pneumonitis
Bimalleolar fracture;http://en.wikipedia.org/wiki/Bimalleolar_fracture
Cushing ulcer;http://en.wikipedia.org/wiki/Cushing_ulcer
Gougerot–Blum syndrome;http://en.wikipedia.org/wiki/Gougerot–Blum_syndrome
Enamel hypoplasia;http://en.wikipedia.org/wiki/Turner's_hypoplasia
Rectal pain;http://en.wikipedia.org/wiki/Rectal_pain
Respiratory bronchiolitis interstitial lung disease;http://en.wikipedia.org/wiki/Respiratory_bronchiolitis_interstitial_lung_disease
Pathologic fracture;http://en.wikipedia.org/wiki/Pathologic_fracture
Chest pain in children;http://en.wikipedia.org/wiki/Chest_pain_in_children
Acalculia;http://en.wikipedia.org/wiki/Acalculia
Intercondylar area;http://en.wikipedia.org/wiki/Intercondylar_area
Malouf syndrome;http://en.wikipedia.org/wiki/Malouf_syndrome
Lupus miliaris disseminatus faciei;http://en.wikipedia.org/wiki/Lupus_miliaris_disseminatus_faciei
Fasciitis;http://en.wikipedia.org/wiki/Fasciitis
Muscle weakness;http://en.wikipedia.org/wiki/Muscle_weakness
Sarcopenia;http://en.wikipedia.org/wiki/Sarcopenia
CNS demyelinating autoimmune diseases;http://en.wikipedia.org/wiki/CNS_demyelinating_autoimmune_diseases
Moon face;http://en.wikipedia.org/wiki/Moon_face
Oligodendrocyte progenitor cell;http://en.wikipedia.org/wiki/Oligodendrocyte_progenitor_cell
Hereditary progressive mucinous histiocytosis;http://en.wikipedia.org/wiki/Hereditary_progressive_mucinous_histiocytosis
Hypochondrogenesis;http://en.wikipedia.org/wiki/Hypochondrogenesis
Nerve injury;http://en.wikipedia.org/wiki/Nerve_injury
Autosomal recessive multiple epiphyseal dysplasia;http://en.wikipedia.org/wiki/Autosomal_recessive_multiple_epiphyseal_dysplasia
Necrobiosis;http://en.wikipedia.org/wiki/Necrobiosis
Congenital estrogen deficiency;http://en.wikipedia.org/wiki/Congenital_estrogen_deficiency
Hip fracture;http://en.wikipedia.org/wiki/Hip_fracture
Hypertensive encephalopathy;http://en.wikipedia.org/wiki/Hypertensive_encephalopathy
Amino acid transport disorder;http://en.wikipedia.org/wiki/Amino_acid_transport_disorder
Lower motor neuron lesion;http://en.wikipedia.org/wiki/Lower_motor_neuron_lesion
Dyschronometria;http://en.wikipedia.org/wiki/Dyschronometria
Acquired generalized lipodystrophy;http://en.wikipedia.org/wiki/Acquired_generalized_lipodystrophy
Hepatomegaly;http://en.wikipedia.org/wiki/Hepatomegaly
