DiseaseName;Url
Radiation pressure;http://en.wikipedia.org/wiki/Radiation_pressure
Skein (hash function);http://en.wikipedia.org/wiki/Skein_(hash_function)
Bit slip;http://en.wikipedia.org/wiki/Bit_slip
Luminosity;http://en.wikipedia.org/wiki/Luminosity
Alcohol-related brain damage;http://en.wikipedia.org/wiki/Alcohol-related_brain_damage
Risk premium;http://en.wikipedia.org/wiki/Risk_premium
Actual gold weight;http://en.wikipedia.org/wiki/Actual_gold_weight
Sandwiches de miga;http://en.wikipedia.org/wiki/Sandwiches_de_miga
Hypersegmented neutrophil;http://en.wikipedia.org/wiki/Hypersegmented_neutrophil
Puppy pregnancy syndrome;http://en.wikipedia.org/wiki/Puppy_pregnancy_syndrome
Portal venous pressure;http://en.wikipedia.org/wiki/Portal_venous_pressure
Behrens–Fisher problem;http://en.wikipedia.org/wiki/Behrens–Fisher_problem
Quincunx;http://en.wikipedia.org/wiki/Quincunx
Acrospiroma;http://en.wikipedia.org/wiki/Acrospiroma
Check (chess);http://en.wikipedia.org/wiki/Check_(chess)
Direct labour cost variance;http://en.wikipedia.org/wiki/Direct_labour_cost_variance
Vilsmeier–Haack reaction;http://en.wikipedia.org/wiki/Vilsmeier–Haack_reaction
Sequela;http://en.wikipedia.org/wiki/Sequela
Fused grid;http://en.wikipedia.org/wiki/Fused_grid
Microkernel;http://en.wikipedia.org/wiki/Microkernel
Orthokeratosis;http://en.wikipedia.org/wiki/Orthokeratosis
Reactions on surfaces;http://en.wikipedia.org/wiki/Reactions_on_surfaces
Real-time computer graphics;http://en.wikipedia.org/wiki/Real-time_computer_graphics
Blue bottle experiment;http://en.wikipedia.org/wiki/Blue_bottle_experiment
Edge case;http://en.wikipedia.org/wiki/Edge_case
Operator (physics);http://en.wikipedia.org/wiki/Operator_(physics)
Distributed artificial intelligence;http://en.wikipedia.org/wiki/Distributed_artificial_intelligence
DLCO;http://en.wikipedia.org/wiki/DLCO
Metastatic calcification;http://en.wikipedia.org/wiki/Metastatic_calcification
LGBT rights in Maryland;http://en.wikipedia.org/wiki/LGBT_rights_in_Maryland
Skin fissure;http://en.wikipedia.org/wiki/Skin_fissure
Culture of Albania;http://en.wikipedia.org/wiki/Culture_of_Albania
Muscle coactivation;http://en.wikipedia.org/wiki/Muscle_coactivation
Katrina cough;http://en.wikipedia.org/wiki/Katrina_cough
Aosaginohi;http://en.wikipedia.org/wiki/Aosaginohi
Survivorship bias;http://en.wikipedia.org/wiki/Survivorship_bias
Duplicity (law);http://en.wikipedia.org/wiki/Duplicity_(law)
Plumbosolvency;http://en.wikipedia.org/wiki/Plumbosolvency
Chromatin bridge;http://en.wikipedia.org/wiki/Chromatin_bridge
Shark Island (Cronulla Beach);http://en.wikipedia.org/wiki/Shark_Island_(Cronulla_Beach)
Warm front;http://en.wikipedia.org/wiki/Warm_front
High energy density physics;http://en.wikipedia.org/wiki/High_energy_density_physics
Hydraulic jump;http://en.wikipedia.org/wiki/Hydraulic_jump
Lluvia de Peces;http://en.wikipedia.org/wiki/Lluvia_de_Peces
Observational error;http://en.wikipedia.org/wiki/Observational_error
Caesarean delivery on maternal request;http://en.wikipedia.org/wiki/Caesarean_delivery_on_maternal_request
Grass tetany;http://en.wikipedia.org/wiki/Grass_tetany
Reception of Islam in Early Modern Europe;http://en.wikipedia.org/wiki/Reception_of_Islam_in_Early_Modern_Europe
Condensation reaction;http://en.wikipedia.org/wiki/Condensation_reaction
Inductive logic programming;http://en.wikipedia.org/wiki/Inductive_logic_programming
Godspot;http://en.wikipedia.org/wiki/Godspot
Exponential integral;http://en.wikipedia.org/wiki/Exponential_integral
Ting Hai effect;http://en.wikipedia.org/wiki/Ting_Hai_effect
Halogen acne;http://en.wikipedia.org/wiki/Halogen_acne
List of hematologic conditions;http://en.wikipedia.org/wiki/List_of_hematologic_conditions
Spraing;http://en.wikipedia.org/wiki/Spraing
Mickaël Vendetta;http://en.wikipedia.org/wiki/Mickaël_Vendetta
Necrospermia;http://en.wikipedia.org/wiki/Necrospermia
Free-running sleep;http://en.wikipedia.org/wiki/Free-running_sleep
Nearest neighbor search;http://en.wikipedia.org/wiki/Nearest_neighbor_search
Vote splitting;http://en.wikipedia.org/wiki/Vote_splitting
Mautam;http://en.wikipedia.org/wiki/Mautam
White superficial onychomycosis;http://en.wikipedia.org/wiki/White_superficial_onychomycosis
Administrative resource;http://en.wikipedia.org/wiki/Administrative_resource
Code of silence;http://en.wikipedia.org/wiki/Code_of_silence
Oranjegekte;http://en.wikipedia.org/wiki/Oranjegekte
Manhole cover theft;http://en.wikipedia.org/wiki/Manhole_cover_theft
Duck plague;http://en.wikipedia.org/wiki/Duck_plague
Legendre symbol;http://en.wikipedia.org/wiki/Legendre_symbol
Neber rearrangement;http://en.wikipedia.org/wiki/Neber_rearrangement
Social proof;http://en.wikipedia.org/wiki/Social_proof
Tunnel injection;http://en.wikipedia.org/wiki/Tunnel_injection
Asymmetric hydrogenation;http://en.wikipedia.org/wiki/Asymmetric_hydrogenation
Postdrome;http://en.wikipedia.org/wiki/Postdrome
Ink spot lentigo;http://en.wikipedia.org/wiki/Ink_spot_lentigo
Effusive eruption;http://en.wikipedia.org/wiki/Effusive_eruption
Fire prevention;http://en.wikipedia.org/wiki/Fire_prevention
Frame slip;http://en.wikipedia.org/wiki/Frame_slip
Scrypt;http://en.wikipedia.org/wiki/Scrypt
Pathophysiology of multiple sclerosis;http://en.wikipedia.org/wiki/Pathophysiology_of_multiple_sclerosis
Photosensitivity;http://en.wikipedia.org/wiki/Photosensitivity
Privacy;http://en.wikipedia.org/wiki/Privacy
Hypertrophic osteodystrophy;http://en.wikipedia.org/wiki/Hypertrophic_osteodystrophy
Ending inventory;http://en.wikipedia.org/wiki/Ending_inventory
Syncope (phonology);http://en.wikipedia.org/wiki/Syncope_(phonology)
Death spiral (insurance);http://en.wikipedia.org/wiki/Death_spiral_(insurance)
Antianalgesia;http://en.wikipedia.org/wiki/Antianalgesia
Tyranny of small decisions;http://en.wikipedia.org/wiki/Tyranny_of_small_decisions
Jeep problem;http://en.wikipedia.org/wiki/Jeep_problem
Overpotential;http://en.wikipedia.org/wiki/Overpotential
Gabriel synthesis;http://en.wikipedia.org/wiki/Gabriel_synthesis
Lazy inheritance;http://en.wikipedia.org/wiki/Lazy_inheritance
Extreme careerism;http://en.wikipedia.org/wiki/Extreme_careerism
Racial segregation;http://en.wikipedia.org/wiki/Racial_segregation
Mislow–Evans rearrangement;http://en.wikipedia.org/wiki/Mislow–Evans_rearrangement
Disease model of addiction;http://en.wikipedia.org/wiki/Disease_model_of_addiction
Serial verb construction;http://en.wikipedia.org/wiki/Serial_verb_construction
Tetrahedron packing;http://en.wikipedia.org/wiki/Tetrahedron_packing
Subclinical seizure;http://en.wikipedia.org/wiki/Subclinical_seizure
Finching (cattle);http://en.wikipedia.org/wiki/Finching_(cattle)
Linkage principle;http://en.wikipedia.org/wiki/Linkage_principle
Peripheral odontogenic fibroma;http://en.wikipedia.org/wiki/Peripheral_odontogenic_fibroma
Ultrasonic hearing;http://en.wikipedia.org/wiki/Ultrasonic_hearing
Frank–Caro process;http://en.wikipedia.org/wiki/Frank–Caro_process
Cherry eye;http://en.wikipedia.org/wiki/Cherry_eye
Aging-associated diseases;http://en.wikipedia.org/wiki/Aging-associated_diseases
Ahmed Mohamed clock incident;http://en.wikipedia.org/wiki/Ahmed_Mohamed_clock_incident
Heredofamilial amyloidosis;http://en.wikipedia.org/wiki/Heredofamilial_amyloidosis
Otophyma;http://en.wikipedia.org/wiki/Otophyma
Energy density;http://en.wikipedia.org/wiki/Energy_density
Dyssemia;http://en.wikipedia.org/wiki/Dyssemia
Smallest-circle problem;http://en.wikipedia.org/wiki/Smallest-circle_problem
Primary cutaneous aspergillosis;http://en.wikipedia.org/wiki/Primary_cutaneous_aspergillosis
British debate over veils;http://en.wikipedia.org/wiki/British_debate_over_veils
Primary cutaneous immunocytoma;http://en.wikipedia.org/wiki/Primary_cutaneous_immunocytoma
Eifeler Regel;http://en.wikipedia.org/wiki/Eifeler_Regel
Competence (human resources);http://en.wikipedia.org/wiki/Competence_(human_resources)
Flynn effect;http://en.wikipedia.org/wiki/Flynn_effect
Bodybuilding supplement;http://en.wikipedia.org/wiki/Bodybuilding_supplement
Type 99 (camouflage);http://en.wikipedia.org/wiki/Type_99_(camouflage)
Overman rearrangement;http://en.wikipedia.org/wiki/Overman_rearrangement
Practical effect;http://en.wikipedia.org/wiki/Practical_effect
Norm (mathematics);http://en.wikipedia.org/wiki/Norm_(mathematics)
Interstitial granulomatous drug reaction;http://en.wikipedia.org/wiki/Interstitial_granulomatous_drug_reaction
Spectrum;http://en.wikipedia.org/wiki/Spectrum
Symmetry breaking;http://en.wikipedia.org/wiki/Symmetry_breaking
Quittor;http://en.wikipedia.org/wiki/Quittor
Von Braun reaction;http://en.wikipedia.org/wiki/Von_Braun_reaction
Tobiano;http://en.wikipedia.org/wiki/Tobiano
Erd_s–Burr conjecture;http://en.wikipedia.org/wiki/Erd_s–Burr_conjecture
Evolutionary computation;http://en.wikipedia.org/wiki/Evolutionary_computation
Calibrated orifice;http://en.wikipedia.org/wiki/Calibrated_orifice
Automated theorem proving;http://en.wikipedia.org/wiki/Automated_theorem_proving
Puddle;http://en.wikipedia.org/wiki/Puddle
Meta learning (computer science);http://en.wikipedia.org/wiki/Meta_learning_(computer_science)
Island reversal;http://en.wikipedia.org/wiki/Island_reversal
Neural backpropagation;http://en.wikipedia.org/wiki/Neural_backpropagation
Split-pi topology;http://en.wikipedia.org/wiki/Split-pi_topology
Range criterion;http://en.wikipedia.org/wiki/Range_criterion
Yottabyte;http://en.wikipedia.org/wiki/Yottabyte
Magnetic field;http://en.wikipedia.org/wiki/Magnetic_field
Corruption in Armenia;http://en.wikipedia.org/wiki/Corruption_in_Armenia
Monkey and banana problem;http://en.wikipedia.org/wiki/Monkey_and_banana_problem
Black heel and palm;http://en.wikipedia.org/wiki/Black_heel_and_palm
Markman hearing;http://en.wikipedia.org/wiki/Markman_hearing
Stopping power;http://en.wikipedia.org/wiki/Stopping_power
Anelli;http://en.wikipedia.org/wiki/Anelli
Garre's sclerosing osteomyelitis;http://en.wikipedia.org/wiki/Garre's_sclerosing_osteomyelitis
Environmental dependency syndrome;http://en.wikipedia.org/wiki/Environmental_dependency_syndrome
Urban plague;http://en.wikipedia.org/wiki/Urban_plague
Master Nationality Rule;http://en.wikipedia.org/wiki/Master_Nationality_Rule
Vaccine-preventable diseases;http://en.wikipedia.org/wiki/Vaccine-preventable_diseases
Broadcast encryption;http://en.wikipedia.org/wiki/Broadcast_encryption
Viral gastroenteritis;http://en.wikipedia.org/wiki/Viral_gastroenteritis
Immunogenicity;http://en.wikipedia.org/wiki/Immunogenicity
Insult (medical);http://en.wikipedia.org/wiki/Insult_(medical)
PP (complexity);http://en.wikipedia.org/wiki/PP_(complexity)
Imaginary friend;http://en.wikipedia.org/wiki/Imaginary_friend
Movement paradox;http://en.wikipedia.org/wiki/Movement_paradox
Onlap;http://en.wikipedia.org/wiki/Onlap
Humidity;http://en.wikipedia.org/wiki/Humidity
Capture effect;http://en.wikipedia.org/wiki/Capture_effect
Conformal map;http://en.wikipedia.org/wiki/Conformal_map
Mediation function;http://en.wikipedia.org/wiki/Mediation_function
Tycoon's cap;http://en.wikipedia.org/wiki/Tycoon's_cap
Tebibit;http://en.wikipedia.org/wiki/Tebibit
Localized granuloma annulare;http://en.wikipedia.org/wiki/Localized_granuloma_annulare
Mass effect (medicine);http://en.wikipedia.org/wiki/Mass_effect_(medicine)
Epistemic modal logic;http://en.wikipedia.org/wiki/Epistemic_modal_logic
Hematopoietic ulcer;http://en.wikipedia.org/wiki/Hematopoietic_ulcer
Abnormal return;http://en.wikipedia.org/wiki/Abnormal_return
Centrofacial lentiginosis;http://en.wikipedia.org/wiki/Centrofacial_lentiginosis
Skraup reaction;http://en.wikipedia.org/wiki/Skraup_reaction
Dakin oxidation;http://en.wikipedia.org/wiki/Dakin_oxidation
Bronchogenic cyst;http://en.wikipedia.org/wiki/Bronchogenic_cyst
Adenoma sebaceum;http://en.wikipedia.org/wiki/Adenoma_sebaceum
Penn effect;http://en.wikipedia.org/wiki/Penn_effect
Allee effect;http://en.wikipedia.org/wiki/Allee_effect
Withering abalone syndrome;http://en.wikipedia.org/wiki/Withering_abalone_syndrome
Rabies in animals;http://en.wikipedia.org/wiki/Rabies_in_animals
Fianchetto;http://en.wikipedia.org/wiki/Fianchetto
Hot start;http://en.wikipedia.org/wiki/Hot_start
HIV superinfection;http://en.wikipedia.org/wiki/HIV_superinfection
Iterator pattern;http://en.wikipedia.org/wiki/Iterator_pattern
New Public Administration;http://en.wikipedia.org/wiki/New_Public_Administration
Downstep;http://en.wikipedia.org/wiki/Downstep
Electrical treeing;http://en.wikipedia.org/wiki/Electrical_treeing
Fenite;http://en.wikipedia.org/wiki/Fenite
Pascal Photocoagulator;http://en.wikipedia.org/wiki/Pascal_Photocoagulator
Esophageal stent;http://en.wikipedia.org/wiki/Esophageal_stent
Drone (music);http://en.wikipedia.org/wiki/Drone_(music)
Mercury granuloma;http://en.wikipedia.org/wiki/Mercury_granuloma
Property damage;http://en.wikipedia.org/wiki/Property_damage
Polycrates complex;http://en.wikipedia.org/wiki/Polycrates_complex
Protectobots;http://en.wikipedia.org/wiki/Protectobots
Desmoplastic melanoma;http://en.wikipedia.org/wiki/Desmoplastic_melanoma
Erythroid dysplasia;http://en.wikipedia.org/wiki/Erythroid_dysplasia
Stendhal syndrome;http://en.wikipedia.org/wiki/Stendhal_syndrome
Defensive war;http://en.wikipedia.org/wiki/Defensive_war
Polyamorphism;http://en.wikipedia.org/wiki/Polyamorphism
Publish–subscribe pattern;http://en.wikipedia.org/wiki/Publish–subscribe_pattern
Disaster convergence;http://en.wikipedia.org/wiki/Disaster_convergence
Infectious pancreatic necrosis;http://en.wikipedia.org/wiki/Infectious_pancreatic_necrosis
Change blindness;http://en.wikipedia.org/wiki/Change_blindness
Influenza A virus subtype H1N1;http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H1N1
Rain of animals;http://en.wikipedia.org/wiki/Rain_of_animals
Oculomucocutaneous syndrome;http://en.wikipedia.org/wiki/Oculomucocutaneous_syndrome
Factory (object-oriented programming);http://en.wikipedia.org/wiki/Factory_(object-oriented_programming)
Kendo Kata;http://en.wikipedia.org/wiki/Kendo_Kata
Ufufuyane;http://en.wikipedia.org/wiki/Ufufuyane
Impakt Festival;http://en.wikipedia.org/wiki/Impakt_Festival
Prostitution in Eritrea;http://en.wikipedia.org/wiki/Prostitution_in_Eritrea
Clave (rhythm);http://en.wikipedia.org/wiki/Clave_(rhythm)
Hunter Valley cannabis infestation;http://en.wikipedia.org/wiki/Hunter_Valley_cannabis_infestation
Hyperchromicity;http://en.wikipedia.org/wiki/Hyperchromicity
Idiopathic craniofacial erythema;http://en.wikipedia.org/wiki/Idiopathic_craniofacial_erythema
Halo (optical phenomenon);http://en.wikipedia.org/wiki/Halo_(optical_phenomenon)
Influenza A virus subtype H5N6;http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H5N6
Troponymy;http://en.wikipedia.org/wiki/Troponymy
Prototype pattern;http://en.wikipedia.org/wiki/Prototype_pattern
Renbök phenomenon;http://en.wikipedia.org/wiki/Renbök_phenomenon
Crop circle;http://en.wikipedia.org/wiki/Crop_circle
Cornforth rearrangement;http://en.wikipedia.org/wiki/Cornforth_rearrangement
Photon induced electric field poling;http://en.wikipedia.org/wiki/Photon_induced_electric_field_poling
Visual anthropology;http://en.wikipedia.org/wiki/Visual_anthropology
Panama disease;http://en.wikipedia.org/wiki/Panama_disease
Niementowski quinazoline synthesis;http://en.wikipedia.org/wiki/Niementowski_quinazoline_synthesis
Squash mosaic virus;http://en.wikipedia.org/wiki/Squash_mosaic_virus
Auto-segregation;http://en.wikipedia.org/wiki/Auto-segregation
Progressive systemic sclerosis;http://en.wikipedia.org/wiki/Progressive_systemic_sclerosis
2005 Royal Air Force Hercules shootdown;http://en.wikipedia.org/wiki/2005_Royal_Air_Force_Hercules_shootdown
Glandular odontogenic cyst;http://en.wikipedia.org/wiki/Glandular_odontogenic_cyst
Influenza A virus subtype H1N2;http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H1N2
Fetus in fetu;http://en.wikipedia.org/wiki/Fetus_in_fetu
Divisor function;http://en.wikipedia.org/wiki/Divisor_function
Gram-negative rosacea;http://en.wikipedia.org/wiki/Gram-negative_rosacea
Lazy loading;http://en.wikipedia.org/wiki/Lazy_loading
Kang cancer;http://en.wikipedia.org/wiki/Kang_cancer
Ependymal tumor;http://en.wikipedia.org/wiki/Ependymal_tumor
2011 eruption of Grímsvötn;http://en.wikipedia.org/wiki/2011_eruption_of_Grímsvötn
Boden's Mate;http://en.wikipedia.org/wiki/Boden's_Mate
Sonogashira coupling;http://en.wikipedia.org/wiki/Sonogashira_coupling
Market concentration;http://en.wikipedia.org/wiki/Market_concentration
Michaelis–Arbuzov reaction;http://en.wikipedia.org/wiki/Michaelis–Arbuzov_reaction
Dickman function;http://en.wikipedia.org/wiki/Dickman_function
Osteoradionecrosis;http://en.wikipedia.org/wiki/Osteoradionecrosis
Neuronal galvanotropism;http://en.wikipedia.org/wiki/Neuronal_galvanotropism
United States Navy dog handler hazing scandal;http://en.wikipedia.org/wiki/United_States_Navy_dog_handler_hazing_scandal
South Atlantic High;http://en.wikipedia.org/wiki/South_Atlantic_High
Shipping (fandom);http://en.wikipedia.org/wiki/Shipping_(fandom)
Study heterogeneity;http://en.wikipedia.org/wiki/Study_heterogeneity
Light-time correction;http://en.wikipedia.org/wiki/Light-time_correction
Economic security;http://en.wikipedia.org/wiki/Economic_security
P-adic gamma function;http://en.wikipedia.org/wiki/P-adic_gamma_function
Willingness to accept;http://en.wikipedia.org/wiki/Willingness_to_accept
Stupidity;http://en.wikipedia.org/wiki/Stupidity
2008 Western Australian gas crisis;http://en.wikipedia.org/wiki/2008_Western_Australian_gas_crisis
_T;http://en.wikipedia.org/wiki/_T
Fowler–Noll–Vo hash function;http://en.wikipedia.org/wiki/Fowler–Noll–Vo_hash_function
